timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691366193428,251,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-8,,true,,382,121,6,6,https://www.daraz.com.bd/%20,251,0,182
1691366193679,688,HTTP Request-1,404,Not Found,ThreadLogin 1-8,text,false,,285727,122,6,6,https://www.daraz.com.bd/%20/,69,0,0
1691366193974,574,HTTP Request,404,Not Found,ThreadLogin 1-6,text,false,,286122,243,7,7,https://www.daraz.com.bd/%20/,63,0,0
1691366193974,63,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-6,,true,,382,121,7,7,https://www.daraz.com.bd/%20,63,0,0
1691366194037,511,HTTP Request-1,404,Not Found,ThreadLogin 1-6,text,false,,285740,122,7,7,https://www.daraz.com.bd/%20/,65,0,0
1691366193679,986,HTTP Request,404,Not Found,ThreadLogin 1-9,text,false,,285978,243,6,6,https://www.daraz.com.bd/%20/,238,0,173
1691366193679,239,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-9,,true,,382,121,6,6,https://www.daraz.com.bd/%20,238,0,173
1691366193918,747,HTTP Request-1,404,Not Found,ThreadLogin 1-9,text,false,,285596,122,6,6,https://www.daraz.com.bd/%20/,67,0,0
1691366194235,591,HTTP Request,404,Not Found,ThreadLogin 1-7,text,false,,286023,243,7,7,https://www.daraz.com.bd/%20/,64,0,0
1691366194235,64,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-7,,true,,382,121,7,7,https://www.daraz.com.bd/%20,64,0,0
1691366194299,527,HTTP Request-1,404,Not Found,ThreadLogin 1-7,text,false,,285641,122,7,7,https://www.daraz.com.bd/%20/,68,0,0
1691366194367,529,HTTP Request,404,Not Found,ThreadLogin 1-8,text,false,,286023,243,6,6,https://www.daraz.com.bd/%20/,61,0,0
1691366194367,61,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-8,,true,,382,121,6,6,https://www.daraz.com.bd/%20,61,0,0
1691366194428,468,HTTP Request-1,404,Not Found,ThreadLogin 1-8,text,false,,285641,122,6,6,https://www.daraz.com.bd/%20/,69,0,0
1691366193928,1033,HTTP Request,404,Not Found,ThreadLogin 1-10,text,false,,286023,243,6,6,https://www.daraz.com.bd/%20/,239,0,176
1691366193928,239,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-10,,true,,382,121,6,6,https://www.daraz.com.bd/%20,239,0,176
