timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691364989600,582,HTTP Request,200,OK,Thread Group 1-7,text,true,,650071,118,18,18,https://www.shopz.com.bd/,264,0,119
1691364989549,833,HTTP Request,200,OK,Thread Group 1-6,text,true,,650028,118,21,21,https://www.shopz.com.bd/,375,0,164
1691364989449,946,HTTP Request,200,OK,Thread Group 1-4,text,true,,650010,118,20,20,https://www.shopz.com.bd/,475,0,264
1691364989345,1059,HTTP Request,200,OK,Thread Group 1-1,text,true,,650027,118,20,20,https://www.shopz.com.bd/,583,0,367
1691364989354,1060,HTTP Request,200,OK,Thread Group 1-2,text,true,,650019,118,19,19,https://www.shopz.com.bd/,573,0,359
1691364989404,1023,HTTP Request,200,OK,Thread Group 1-3,text,true,,650024,118,18,18,https://www.shopz.com.bd/,535,0,309
1691364989500,930,HTTP Request,200,OK,Thread Group 1-5,text,true,,650017,118,17,17,https://www.shopz.com.bd/,434,0,213
1691364989653,892,HTTP Request,200,OK,Thread Group 1-8,text,true,,650025,118,18,18,https://www.shopz.com.bd/,340,0,123
1691364989700,950,HTTP Request,200,OK,Thread Group 1-9,text,true,,650016,118,20,20,https://www.shopz.com.bd/,348,0,118
1691364989749,946,HTTP Request,200,OK,Thread Group 1-10,text,true,,650013,118,19,19,https://www.shopz.com.bd/,363,0,120
1691364989802,1000,HTTP Request,200,OK,Thread Group 1-11,text,true,,650019,118,20,20,https://www.shopz.com.bd/,405,0,117
1691364989902,947,HTTP Request,200,OK,Thread Group 1-13,text,true,,650024,118,20,20,https://www.shopz.com.bd/,433,0,129
1691364989852,1006,HTTP Request,200,OK,Thread Group 1-12,text,true,,650013,118,20,20,https://www.shopz.com.bd/,426,0,119
1691364989953,913,HTTP Request,200,OK,Thread Group 1-14,text,true,,650024,118,19,19,https://www.shopz.com.bd/,460,0,153
1691364990003,863,HTTP Request,200,OK,Thread Group 1-15,text,true,,650008,118,19,19,https://www.shopz.com.bd/,457,0,212
1691364990053,944,HTTP Request,200,OK,Thread Group 1-16,text,true,,650016,118,19,19,https://www.shopz.com.bd/,484,0,269
1691364990099,952,HTTP Request,200,OK,Thread Group 1-17,text,true,,650014,118,19,19,https://www.shopz.com.bd/,460,0,311
1691364990152,1044,HTTP Request,200,OK,Thread Group 1-18,text,true,,650030,118,21,21,https://www.shopz.com.bd/,556,0,292
1691364990202,1044,HTTP Request,200,OK,Thread Group 1-19,text,true,,650025,118,21,21,https://www.shopz.com.bd/,521,0,255
1691364990253,1094,HTTP Request,200,OK,Thread Group 1-20,text,true,,650020,118,22,22,https://www.shopz.com.bd/,492,0,222
1691364990403,1021,HTTP Request,200,OK,Thread Group 1-23,text,true,,650015,118,23,23,https://www.shopz.com.bd/,414,0,133
1691364990303,1139,HTTP Request,200,OK,Thread Group 1-21,text,true,,650032,118,22,22,https://www.shopz.com.bd/,475,0,201
1691364990502,955,HTTP Request,200,OK,Thread Group 1-25,text,true,,650010,118,22,22,https://www.shopz.com.bd/,418,0,164
1691364990353,1121,HTTP Request,200,OK,Thread Group 1-22,text,true,,650018,118,21,21,https://www.shopz.com.bd/,451,0,165
1691364990449,1037,HTTP Request,200,OK,Thread Group 1-24,text,true,,650008,118,20,20,https://www.shopz.com.bd/,414,0,125
1691364990549,1006,HTTP Request,200,OK,Thread Group 1-26,text,true,,650040,118,21,21,https://www.shopz.com.bd/,445,0,194
1691364990647,993,HTTP Request,200,OK,Thread Group 1-28,text,true,,650032,118,21,21,https://www.shopz.com.bd/,424,0,241
1691364990602,1045,HTTP Request,200,OK,Thread Group 1-27,text,true,,650019,118,20,20,https://www.shopz.com.bd/,486,0,236
1691364990702,1058,HTTP Request,200,OK,Thread Group 1-29,text,true,,650017,118,22,22,https://www.shopz.com.bd/,502,0,220
1691364990852,1062,HTTP Request,200,OK,Thread Group 1-32,text,true,,650017,118,24,24,https://www.shopz.com.bd/,488,0,181
